Time,Open,High,Low,Last,Change,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
02/12/2021,2.36,5.25,0.78,2.5,-0.56,5153,4224,72.99%,0.895264787,0.091376469,-0.181911035,0.004941095,0.000936205,2.500000332,52.4,50
02/10/2021,5,15.7,3.31,5.15,-0.45,4461,4114,288.34%,0.586106266,0.035657903,-1.063501353,0.014764585,0.001219432,4.925000254,51.2,50
02/09/2021,9.28,9.28,4.6,5.6,-7.7,6908,2428,303.95%,0.563486083,0.028415278,-0.909172689,0.017962557,0.001664542,5.650001702,50.31,50
02/04/2021,38.59,39,14.35,14.35,-33.95,247,1218,422.67%,0.662882159,0.010908108,-0.762948291,0.028915198,0.004108032,14.5250025,53.5,50
02/03/2021,55.35,57,46.6,48.3,-0.7,11,1232,451.12%,0.89491321,0.002946439,-0.700210311,0.024874022,0.006732391,46.65000158,92.41,50
02/02/2021,98.75,106.5,43.5,49,-127.25,80,1206,567.11%,0.863228125,0.002591781,-0.923593853,0.032610699,0.006756954,49.575,90,50
02/01/2021,246.25,246.25,169.45,176.25,-98.9,54,1209,574.68%,0.977552027,0.000237396,-0.542649733,0.020814567,0.010306994,177.7750011,225,50
01/28/2021,370,370,185.42,205.11,-50.89,17,1206,708.47%,0.951535772,0.000361337,-0.929941094,0.039426448,0.0105551,154.775,193.6,50
01/27/2021,213.13,324.75,213.13,256,155.25,66,1247,377.80%,0.997769119,2.52E-05,-0.058504924,0.005020323,0.013139196,297.7250003,347.51,50
01/26/2021,52.23,102.45,38.58,100.75,65.05,112,1266,321.14%,0.971975119,0.000625165,-0.192242235,0.020462289,0.016019565,99.40000123,147.98,50
01/25/2021,43.34,108.87,25.3,35.7,14,125,1250,364.67%,0.82472904,0.004145873,-0.444138718,0.043949171,0.011899831,35.85000382,76.79,50
01/22/2021,4.65,31,4.65,21.7,17,773,1416,225.19%,0.774714471,0.008541241,-0.249614891,0.046742755,0.014626824,21.10000319,65.01,50
01/21/2021,3.4,5.42,3.32,4.7,0.56,190,1374,168.82%,0.437433896,0.022088899,-0.159001065,0.041599506,0.007763843,4.625003895,43.03,50
01/20/2021,4.05,5,3.35,4.14,-0.51,89,1378,188.49%,0.387961217,0.020690976,-0.153518857,0.037597837,0.00646611,3.9500029,39.12,50
01/19/2021,5.35,7.9,4.05,4.65,0.65,249,831,203.86%,0.421163225,0.019002804,-0.16694942,0.039448028,0.007069475,4.800002911,39.36,50
01/15/2021,4.8,5.95,2.5,4,-1.47,496,831,206.67%,0.376304593,0.018672077,-0.137107698,0.037295163,0.006605716,3.97500216,35.5,50
01/14/2021,4.3,8,3.5,5.47,5.47,869,N/A,194.33%,0.444104462,0.018060471,-0.148142237,0.044398502,0.008902031,5.424997472,39.91,50
